,Strassenklasse,Unfalldatum,Alter,Unfallklasse,Unfallschwere,Lichtverhältnisse,Verletzte Personen,Anzahl Fahrzeuge,Bodenbeschaffenheit,Geschlecht,Zeit (24h),Fahrzeugtyp,Wetterlage
0,Bundesstrasse,23. Jan.,59,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1330,LKW ab 7.5t,Gut
1,Autobahn,17-May-11,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,4,trocken,weiblich,1724,Auto,Gut
2,nicht klassifiziert,14. Feb.,56,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1345,Mottorrad (500cc),Gut
3,Bundesstrasse,31-Oct-12,66,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,weiblich,1830,Auto,Regen
4,Bundesstrasse,3. Nov.,33,Fahrer,2,Dunkelheit: keine Strassenbeleuchtung,1,1,nass / feucht,männlich,15,Auto,Gut
5,nicht klassifiziert,31-May-09,72,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1457,Auto,Gut
6,Bundesstrasse,24. Okt.,62,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1130,Fahrrad,Gut
7,nicht klassifiziert,25. Jul.,45,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1520,Transporter,Gut
8,Bundesstrasse,7. Jan.,66,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,Schnee,weiblich,1057,Auto,Schnee
9,Bundesstrasse,10. Sep.,67,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,weiblich,1300,Auto,Gut
10,Landesstrasse,21. Nov.,12,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,835,Auto,Gut
11,nicht klassifiziert,26. Nov.,60,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,1205,Bus,Gut
12,nicht klassifiziert,10-Dec-09,16,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1215,Auto,Gut
13,Landesstrasse,19-Dec-12,64,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1120,Bus,Regen (starker Wind)
14,Landesstrasse,09-Dec-11,55,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,1908,Auto,Gut
15,Autobahn,11. Okt.,20,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,1,trocken,männlich,1607,Auto,Gut
16,Bundesstrasse,19. Jan.,27,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,nass / feucht,weiblich,1820,Auto,Regen
17,nicht klassifiziert,20-Oct-12,55,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2200,Auto,Gut
18,nicht klassifiziert,15. Aug.,26,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,422,Auto,Gut
19,nicht klassifiziert,15. Jun.,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1445,Auto,Gut
20,Landesstrasse,24. Aug.,31,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,3,trocken,weiblich,2240,Auto,Gut
21,Bundesstrasse,14. Sep.,43,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,9,2,trocken,männlich,1430,Transporter,Gut
22,Bundesstrasse,07-Oct-11,32,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1545,Mottorrad (50cc),Gut
23,Autobahn,5. Jul.,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1300,Auto,Gut
24,nicht klassifiziert,14. Sep.,18,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1847,Auto,Gut (starker Wind)
25,Bundesstrasse,9. Sep.,47,Fahrer,2,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,weiblich,2028,Auto,Gut
26,nicht klassifiziert,27. Sep.,10,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1748,Auto,Gut
27,nicht klassifiziert,2. Feb.,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,5,nass / feucht,weiblich,1800,Auto,Gut (starker Wind)
28,nicht klassifiziert,13. Feb.,97,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1238,Auto,Gut
29,Bundesstrasse,10. Apr.,13,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,3,trocken,männlich,1415,Auto,Gut
30,Autobahn,24. Feb.,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,weiblich,1326,Auto,Gut
31,Landesstrasse,11-Dec-10,4,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1000,Taxi,Gut
32,Bundesstrasse,28. Jun.,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,weiblich,855,Auto,Gut
33,nicht klassifiziert,31-May-12,23,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1342,Auto,Gut
34,Bundesstrasse,5. Nov.,28,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,weiblich,1840,Fahrrad,Gut
35,nicht klassifiziert,8. Aug.,16,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1805,Mottorrad,Gut
